pIndex	Problem	Equation	Relevant Indices	Number of Operators
164	सिद्धांत के पास बैंक में 9 रुपये थे। उसके पिता ने उसे 7 रुपये दिए। अब सिद्धांत के पास कितने रुपये हैं?	X = ( 9 + 7 )	[0, 1]	1
165	2 संख्याओं का योगफल 7678 है । यदि 1 संख्या 4643 है , तो दूसरी संख्या बताइए ।	X = ( 7678 - 4643 )	[1, 3]	1
166	टेरेल ने शनिवार को 8.2 मील सफ़र किया। फिर रविवार को उसने 1.6 मील सफ़र किया। कुल मिलाकर टेरेल ने कितनी दूर का सफ़र किया?	X = ( 8.2 + 1.6 )	[0, 1]	1
167	1 फल विक्रेता 35946 रु लेकर फल मंडी गया। उसने 13243.30 रु के अंगूर तथा 947.25 रु के केले खरीदे। वह 13243.0 रुपये के सेब भी खरीदना चाहता था पर उसके पास इतने पैसे नहीं थे। बताओ उसके पास अब कितनी राशि शेष बचेगी ?	X = ( 35946 - ( 13243.30 + 947.25 ) )	[1, 2, 3]	2
168	राघा ने कुल 500 कागज की थैलियाँ बनाई । दीपू ने उसमें से 266 थैलियाँ किराना व्यापारी को दे दी । अब राधा के पास कितनी थैलियाँ बची ।	X = ( 500 - 266 )	[0, 1]	1
169	गौर्डन ने 1 पार्टी के लिए 3.42 किलो फल खरीदे। बाकी लोग 2.2 किलो फल लाए। कुल कितने किलो फल लाए गए?	X = ( 3.42 + 2.2 )	[1, 2]	1
170	खलिहान में 64 सूअर थे। कुछ और उनके साथ शामिल होने आए। अब 86 सूअर हैं। उनके साथ शामिल होने के लिए कितने सूअर आए थे?	X = ( 86 - 64 )	[1, 0]	1
172	1 बस में 23 सवारियाँ थीं कुछ और सवारियाँ चढ़ने के बाद बस में 55 सवारियाँ हो गईं ? बताओ कितनी सवारियाँ और चढ़ीं ?	X = ( 55 - 23 )	[2, 1]	1
173	ट्रेन में 48 लोग सवार थे। पहले स्टेशन के बाद 31 लोग बचे थे। कितने लोग उतरे?	X = ( 48 - 31 )	[0, 1]	1
174	वृंदा के पास 48 केले थे। चार्ल्स के पास 35 केले थे। उसने 14 खा लिए। उनके पास कुल कितने केले हैं?	X = ( 48 + 35 )	[0, 1]	1
175	सड़क के किनारे स्थित सैली की फलों की दुकान में 13 आड़ू थे। वह बगीचे में गई और उसने आड़ू तोड़े। अब उसके पास 55 आड़ू हैं। उसने कितने आड़ू तोड़े?	X = ( 55 - 13 )	[1, 0]	1
176	कल मैंने अपनी अंग्रेजी की किताब के 21 पृष्ठ पढ़े। आज मैंने 17 पृष्ठ पढ़े। मेरे द्वारा पढ़े गए पृष्ठों की कुल संख्या कितनी है?	X = ( 21 + 17 )	[0, 1]	1
177	पूजा को दोपहर से पहले 21 और दोपहर के बाद अठारह संदेश मिले। पूजा को कुल कितने संदेश मिले?	X = ( 21 + 18 )	[0, 'implicit']	1
178	टिम के पास 50 पैसे थे। उसे 45 पैसे मिले। उसके पास अब कितने पैसे हैं?	X = ( 50 + 45 )	[0, 1]	1
179	मैलनी के पुस्तकालय में 41 किताबें और 31 पत्रिकाएँ थीं। उसने सप्ताहांत में 1 मेले में कई किताबें खरीदीं। उसकी लाइब्रेरी में अब 87 किताबें हैं। मेले में उसने कितनी किताबें खरीदीं?	X = ( 87 - 41 )	[3, 0]	1
181	घरों की क़ीमत बढ़ने से पहले, लॉरेंस जिले में 2000 घर थे। फिर बिल्डरों ने 1426 ज़्यादा घर बनाए। बिल्डरों ने कुल कितने घर बनाए?	X = ( 2000 + 1426 )	[0, 1]	1
